gene_id,gene_short_name,cluster,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000162511,LAPTM5,B,0.2455739005647454,7.695988521403799,0.9645714285714285,0.25459379501676804,0.2978730362234191,3.787805128449443e-142,1.391264611484609e-136
ENSG00000065978,YBX1,B,0.1590525930891025,4.916224001231225,0.9485714285714286,0.16767592644935503,0.12184841278114976,2.704468168212193e-58,9.933538626525066e-53
ENSG00000184588,PDE4B,B,0.19330904416454928,0.9103754922602287,0.5885714285714285,0.3284376963960789,0.18681235189988574,6.301980906830322e-89,2.3147238890596842e-83
ENSG00000134248,LAMTOR5,B,0.142115809293964,1.0421160032542216,0.6571428571428571,0.21626318805603217,0.08777106887904387,2.3450947109731088e-42,8.613556324351339e-37
ENSG00000122224,LY9,B,0.16516122723003507,0.5710555825446246,0.392,0.4213296613011098,0.15183468445495904,2.1654618718817461e-72,7.953763110040372e-67
ENSG00000116191,RALGPS2,B,0.19947539981961546,0.384709850092606,0.3325714285714286,0.5997971644060602,0.15985570094110893,3.5693983250020297e-76,1.3110435741715705e-70
ENSG00000116741,RGS2,B,0.14276094043869347,1.0161849436287467,0.5485714285714286,0.2602412976747016,0.12416737306439331,2.2102926494478335e-59,8.118427004348386e-54
ENSG00000162924,REL,B,0.1804115066701987,2.261436237199412,0.8822857142857143,0.20448195380365786,0.1540069753130429,2.0490638500184492e-73,7.526232011756264e-68
ENSG00000197329,PELI1,B,0.17966226395378704,0.9127877874447018,0.6,0.29943710658964506,0.19125167945974433,4.935014326013691e-91,1.8126356969591545e-85
ENSG00000144218,AFF3,B,0.16911961841076611,0.4048039881668269,0.3565714285714286,0.4742938016327575,0.15250436393286845,1.04691628207712e-72,3.8453339732320824e-67
ENSG00000121966,CXCR4,B,0.1890625573213426,2.3566035596425974,0.816,0.23169431044282185,0.1828549434479028,4.737955873751526e-87,1.740255930384809e-81
ENSG00000082438,COBLL1,B,0.1385070734669038,0.41145075063668446,0.3325714285714286,0.4164731590499685,0.13035255023175812,2.7636286189220217e-62,1.0150835553586775e-56
ENSG00000114942,EEF1B2,B,0.18223571607605293,6.611490889072987,0.9474285714285714,0.19234770997170847,0.1752601724317656,1.8721118656837447e-83,6.876285603775051e-78
ENSG00000224137,LINC01857,B,0.360810185186052,0.5956035717139986,0.3977142857142857,0.9072095173499871,0.2502920678834513,3.287000739180812e-119,1.2073186585018515e-113
ENSG00000187514,PTMA,B,0.17221167526960277,17.388959018305357,0.992,0.17360047910242216,0.18339118520604683,2.639066650975872e-87,9.693318199700888e-82
ENSG00000114784,EIF1B,B,0.18970285640198992,1.5821521211995542,0.816,0.23247899068871314,0.17631216521077828,5.948692520853505e-84,2.1849607116020136e-78
ENSG00000114861,FOXP1,B,0.2775793481709183,2.4505460318274186,0.8662857142857143,0.3204247093002025,0.33100806142129585,3.0111564750043163e-158,1.1060007844255603e-152
ENSG00000168421,RHOH,B,0.19850066957435517,1.2559886959186823,0.7348571428571429,0.27012143993399806,0.23092645652636676,6.212048684392192e-110,2.2816916938259363e-104
ENSG00000118816,CCNI,B,0.14693410019442601,2.4314057738467647,0.8697142857142857,0.1689452531801876,0.07558170247661916,1.1294253540899409e-36,4.148390619825894e-31
ENSG00000153064,BANK1,B,0.24451875362481176,0.5675127977462323,0.48228571428571426,0.5069997853595031,0.2544982284721673,3.143918249358781e-121,1.1547643169077296e-115
ENSG00000145741,BTF3,B,0.14580100449245031,3.6310616706163614,0.9371428571428572,0.15558034015962685,0.10529589504391203,1.5271731027964174e-50,5.609322078302268e-45
ENSG00000169567,HINT1,B,0.1444708100330979,2.7778179611213734,0.9051428571428571,0.15961105906434425,0.11399854731648262,1.2906294112996543e-54,4.740494733997743e-49
ENSG00000177733,HNRNPA0,B,0.14743201613543705,1.3615605286133636,0.7817142857142857,0.1886008978340752,0.11145762406489039,1.997975288150104e-53,7.338583213128214e-48
ENSG00000019582,CD74,B,0.3128868858549438,56.300926009708824,0.9988571428571429,0.31324488000351924,0.6266382970420202,9.370249989048653e-307,3.441702191227559e-301
ENSG00000181163,NPM1,B,0.13705797854042664,2.200861066324273,0.8708571428571429,0.1573828493738495,0.11492335587936237,4.7603854069812256e-55,1.748494320369611e-49
ENSG00000204628,RACK1,B,0.16944898918055104,7.968754404681896,0.96,0.1765093637297407,0.13207960581805558,4.2694182466818083e-63,1.568161591424475e-57
ENSG00000112149,CD83,B,0.444534553024036,5.45086607544898,0.9485714285714286,0.46863582397112225,0.547835436538204,2.7990673371341127e-266,1.0281002319966968e-260
ENSG00000227507,LTB,B,0.1828316807465387,2.1305850665821513,0.7908571428571428,0.23118167724453953,0.20652276887575297,2.7226468150896074e-98,1.000030897829228e-92
ENSG00000204287,HLA-DRA,B,0.3048340386336102,10.25279984560575,0.976,0.3123299576164039,0.5003557134545895,3.264029720142261e-242,1.1988813802379726e-236
ENSG00000196126,HLA-DRB1,B,0.2627533517137284,8.936467062380153,0.984,0.26702576393671584,0.4211492956502747,1.3893977461532906e-202,5.103271815598498e-197
ENSG00000196735,HLA-DQA1,B,0.2556674028962474,2.1492724015028117,0.848,0.3014945788870842,0.3507741369920719,6.679910550594703e-168,2.453537825143985e-162
ENSG00000179344,HLA-DQB1,B,0.32168549293890125,2.1409953982819574,0.8457142857142858,0.3803713598939711,0.38584357201186603,4.00933418684953e-185,1.4726324561640191e-179
ENSG00000242574,HLA-DMB,B,0.20466363078964833,0.7781496611788953,0.5611428571428572,0.3647264296149537,0.18910209432165817,5.168298748991913e-90,1.8983212988034785e-84
ENSG00000204257,HLA-DMA,B,0.22165902630732945,1.7955554413057322,0.8068571428571428,0.2747190481854296,0.23941722519451308,5.372883683933002e-114,1.9734655499922756e-108
ENSG00000231389,HLA-DPA1,B,0.23306221015983444,5.088825529577491,0.9474285714285714,0.24599449202636325,0.32526811292117963,1.8842911935889453e-155,6.921020396964132e-150
ENSG00000223865,HLA-DPB1,B,0.29847434271010703,5.628055203908305,0.9611428571428572,0.3105410818922041,0.4400349363485161,5.647393044110642e-212,2.0742931124948829e-206
ENSG00000096384,HSP90AB1,B,0.23257085088178897,4.128013985329442,0.9451428571428572,0.24606952179149377,0.29570298908508186,4.2573841914209894e-141,1.563741470893121e-135
ENSG00000156508,EEF1A1,B,0.174190603818069,48.54396071081089,0.9908571428571429,0.17579789889366826,0.16936808279892918,1.146394272318925e-80,4.2107176261701347e-75
ENSG00000112182,BACH2,B,0.2677824901807158,0.8083105357538568,0.52,0.5149663272706073,0.25327785143934106,1.2120671389058255e-120,4.451934721872487e-115
ENSG00000120278,PLEKHG1,B,0.36106043798778464,0.5065532675778521,0.43314285714285716,0.8335828053807692,0.26832033791992926,7.082718501416005e-128,2.6014895882886e-122
ENSG00000130340,SNX9,B,0.24085654277635254,2.0996413785088954,0.8125714285714286,0.29641276361365465,0.2424837557156057,1.824731416077088e-115,6.702256738565305e-110
ENSG00000092820,EZR,B,0.33802390047110314,4.188920688712669,0.9485714285714286,0.3563504974845967,0.44549424213679933,1.0726811234972833e-214,3.9399684934167564e-209
ENSG00000164691,TAGAP,B,0.3222968733791287,1.386912225264138,0.7428571428571429,0.43386117570267324,0.3523084307368512,1.1852958621253683e-168,4.353603554545099e-163
